quote,author
"""“The world as we have created it is a process of o...""",Albert Einstein
"""“It is our choices, Harry, that show what we truly...""",J.K. Rowling
"""“There are only two ways to live your life. One is...""",Albert Einstein
"""“The person, be it gentleman or lady, who has not ...""",Jane Austen
"""“Imperfection is beauty, madness is genius and it'...""",Marilyn Monroe
"""“Try not to become a man of success. Rather become...""",Albert Einstein
"""“It is better to be hated for what you are than to...""",André Gide
"""“I have not failed. I've just found 10,000 ways th...""",Thomas A. Edison
"""“A woman is like a tea bag; you never know how str...""",Eleanor Roosevelt
"""“A day without sunshine is like, you know, night.”...""",Steve Martin
"""“This life is what you make it. No matter what, yo...""",Marilyn Monroe
"""“It takes a great deal of bravery to stand up to o...""",J.K. Rowling
"""“If you can't explain it to a six year old, you do...""",Albert Einstein
"""“You may not be her first, her last, or her only. ...""",Bob Marley
"""“I like nonsense, it wakes up the brain cells. Fan...""",Dr. Seuss
"""“I may not have gone where I intended to go, but I...""",Douglas Adams
"""“The opposite of love is not hate, it's indifferen...""",Elie Wiesel
"""“It is not a lack of love, but a lack of friendshi...""",Friedrich Nietzsche
"""“Good friends, good books, and a sleepy conscience...""",Mark Twain
"""“Life is what happens to us while we are making ot...""",Allen Saunders
