description,selling_price,retail_price,image_url
"KHARMA Elegance S7 floor standers in gorgeous GunSmoke Grey finish.  Factory certified trade-in pair.  A rare opportunity to experience Kharma ""Elegance"" at special pricing.  Includes wooden crates.",CALL,"$22,750",['http://audioeden.com/communities/3/004/006/282/153//images/4637101806_158x118.jpg']
"REVEL Ultima2 Voice2 centre channel speaker in piano black finish.  Features dual 8 inch woofers, 5.25 inch midrange and a pure beryllium 1 inch tweeter for world class clarity and palpability.  Show demo unit, includes original box.  Dedicated (demo) stand also available.  Interesting trades considered.",$6995,"$11,500",['http://audioeden.com/communities/3/004/006/282/153//images/4636389812_114x78.jpg']
KEF LS50 Limited Black Edition.  Brand new in stock at special pricing.  Pricing limited to current stock.,CALL,,['http://audioeden.com/communities/3/004/006/282/153//images/4637066866_89x106.jpg']
"REVEL C205 centre channel speaker.  B-stock in gloss black finish.  Excellent clarity, dispersion and dynamics.",CALL,$1400,[]
"PMC Twenty5.23 floor standers in amarone finish. Amazing speed, depth and articulation.  Demo pair available.",CALL,$6750,['http://audioeden.com/communities/3/004/006/282/153//images/4637244438_37x118.jpg']
TOTEM Acoustic Sky monitors in black ash finish.  Trade-in pair with a blemish on the bottom of one speaker.  Beautifully balanced presentation with rich bass and a smooth extended top end.  Includes original box.,$1395,,"['http://audioeden.com/communities/3/004/006/282/153//images/4635626934_130x93.jpg', 'http://audioeden.com/communities/3/004/006/282/153//images/4635626935_107x78.jpg']"
KEF R200C centre channel in gloss white finish.  Factor sealed new old stock.,$850,$1200,['http://audioeden.com/communities/3/004/006/282/153//images/4637066870_190x69.jpg']
"ASW Cantius 304 centre channel speaker.  Gorgeous real wood veneer.  Articulate and dynamic.  Minor blemishes, functionally excellent.  In-store cash and carry.",$300,,[]
TOTEM Acoustic Metal (original version) in gorgeous gloss black (Dusk) finish.  Interesting trades considered.,$8995,,[]
KEF R500 floorstanders in gorgeous piano black finish.  Special pricing on brand new and factory sealed...these are a discontinued model.  Buy with confidence from an authorized Kef retailer.,$2495,$3500,['http://audioeden.com/communities/3/004/006/282/153//images/4634720953_88x87.jpg']
SPENDOR A3 floor standers. Demo pair. Taut bass and gorgeous midrange. Includes original boxes.  Trade-in pair.,$1595,$2795,"['http://audioeden.com/communities/3/004/006/282/153//images/4636351471_58x83.jpg', 'http://audioeden.com/communities/3/004/006/282/153//images/4637178590_111x73.jpg']"
"JBL Synthesis 4307 monitors.  3-way design anchored by a 10"" driver.  Great resolution and dynamics.  Excellent b-stock pair.  Stock photo for reference.",$1999,$2800,['http://audioeden.com/communities/3/004/006/282/153//images/4636904807_103x85.jpg']
"REVEL M12 monitors.  No grilles.  Some blemishes, functionally excellent.  In-store cash and carry.",$399,,['http://audioeden.com/communities/3/004/006/282/153//images/4635087204_93x64.jpg']
"JBL Synthesis K2 in standard wood grain rosewood finish.  15 inch driver with Alnico magnets.  ""JBL’s K2 S9900s are a fantastic pair of speakers that deliver a spellbinding combination of dynamics, insight and finesse ..exceptional resolution..superb low frequency performance"" - What Hi-Fi?",SOLD,"$66,000",[]
ProAc Response DB3 monitors in black ash.  Brand new in stock.  Call for pricing.,CALL,$3800,['http://audioeden.com/communities/3/004/006/282/153//images/4637111079_139x110.jpg']
"KUDOS Cardea C10 in desirable rosenut finish. Exquisite midrange detail with taut, punchy bass.  Bi-wireable version.  Some blemishes, functionally excellent.  Trade-in pair.  SRP per the previous Canadian distributor.  In-store pickup please.",$1895,$6269,[]
JBL Synthesis S4700 floor standers in stock.  Pictured is our former demo pair for reference.,CALL,"$21,000",['http://audioeden.com/communities/3/004/006/282/153//images/4630572628_164x110.jpg']
"YAMAHA NS-A825A monitors in black oak finish.  Punchy and detailed.  These American made gems are without peer at the used price.  Numerous blemishes, functionally sound.  Stands not included.  In-store cash and carry.",$100,,['http://audioeden.com/communities/3/004/006/282/153//images/4635379329_137x95.jpg']
"TOTEM Acoustic Forest Signature in gorgeous high gloss mahogany finish.  Excellent detail, imaging and dynamics.  Includes original boxes.",CALL,$6995,['http://audioeden.com/communities/3/004/006/282/153//images/4637199538_118x78.jpg']
"PROAC Tablette Ten Signature in premium ebony finish.  Smooth, extended top end with delicate mids and taut bass.  Demo pair with original box.",CALL,$4000,['http://audioeden.com/communities/3/004/006/282/153//images/4635645475_72x99.jpg']
"PROAC DT8 floor standers.  Gorgeous mids with full, tuneful bass.  Demo pair with boxes.",CALL,$5400,['http://audioeden.com/communities/3/004/006/282/153//images/4637184351_66x96.jpg']
JBL Everest DD67000 speakers available.  Reference calibre resolution with startling dynamics and holographic-like soundstage.  Beautiful condition.,CALL,"$110,000",['http://audioeden.com/communities/3/004/006/282/153//images/4636353350_146x95.jpg']
JL AUDIO E-110 subwoofer in gloss black finish.  1200 watt amp powering a 10 inch driver.  Incredible depth and speed.  In stock.,CALL,$2499,['http://audioeden.com/communities/3/004/006/282/153//images/4636739480_160x125.jpg']
JL AUDIO D-108 black ash subwoofer.  8 inch woofer driven by a 500 watt amp.  Brand new in stock.,CALL,$1249,[]
PMC Twenty5.21 monitors in gorgeous Amarone finish.  Brand new in stock at special pricing.,CALL,$4200,['http://audioeden.com/communities/3/004/006/282/153//images/4636933887_61x124.jpg']
